('<s>', -4889, 304431, 304433)
('absent', -7046, 304434, 304873)
('saw', -14034, 304874, 304925)
('a', -14206, 304926, 304933)
('lot', -20997, 304934, 304954)
('when(4)', -34542, 304955, 305030)
('i', -31221, 305031, 305037)
('lived', -47011, 305038, 305115)
("we're(2)", -73217, 305116, 305131)
('on', -23587, 305132, 305156)
('<sil>', -13309, 305157, 305161)
('your(2)', -13927, 305162, 305180)
('you', -20183, 305181, 305202)
('are', -23533, 305203, 305236)
('<sil>', -6365, 305237, 305256)
('you', -6237, 305257, 305272)
('you', -14718, 305273, 305292)
('you', -13574, 305293, 305310)
('can(2)', -14978, 305311, 305326)
('tell', -16600, 305327, 305360)
('that(2)', -43524, 305361, 305376)
('<sil>', -5016, 305377, 305432)
('you', -6266, 305433, 305445)
('can(2)', -7977, 305446, 305464)
('sell', -27712, 305465, 305490)
('the(2)', -11422, 305491, 305504)
('<sil>', -15909, 305505, 305511)
('land', -26872, 305512, 305578)
('and', -4893, 305579, 305632)
('<sil>', -10221, 305633, 305635)
('wallace', -26011, 305636, 305683)
('<sil>', -5387, 305684, 305686)
('but', -4993, 305687, 305732)
('<sil>', -4894, 305733, 305827)
('<sil>', -7089, 305828, 305857)
('to(2)', -41340, 305858, 305894)
('said', -45320, 305895, 305920)
('<sil>', -4867, 305921, 305976)
('let', -46511, 305977, 306004)
('alone', -66598, 306005, 306042)
("that's", -61281, 306043, 306115)
('<sil>', -4797, 306116, 306160)
('if', -47486, 306161, 306185)
('they', -31500, 306186, 306209)
('all', -4821, 306210, 306255)
('<sil>', -7611, 306256, 306266)
('have', -58616, 306267, 306284)
('[SPEECH]', -4792, 306285, 306320)
('a(2)', -9738, 306321, 306353)
('<sil>', -4832, 306354, 306383)
('lead', -68527, 306384, 306417)
('in', -52484, 306418, 306435)
('seoul', -66628, 306436, 306464)
('time', -51549, 306465, 306500)
('he', -18660, 306501, 306517)
('<sil>', -5804, 306518, 306552)
('was', -10777, 306553, 306571)
('bowled', -54474, 306572, 306624)
('well', -5498, 306625, 306652)
('wishes', -7931, 306653, 306718)
('that(2)', -7680, 306719, 306728)
("we've", -25794, 306729, 306749)
('received', -13121, 306750, 306794)
('only', -41629, 306795, 306816)
('<sil>', -9993, 306817, 306823)
('as(2)', -22022, 306824, 306853)
('<sil>', -18007, 306854, 306857)
('the(2)', -38115, 306858, 306867)
('weeds', -38161, 306868, 306920)
('<sil>', -4767, 306921, 306974)
('bought', -48239, 306975, 307060)
('denied', -81255, 307061, 307166)
('denied', -22120, 307167, 307209)
('it', -14881, 307210, 307238)
('might', -10754, 307239, 307273)
('serve', -40825, 307274, 307304)
("isn't", -52631, 307305, 307340)
('that(2)', -12327, 307341, 307368)
('<sil>', -4774, 307369, 307436)
('what', -4800, 307437, 307515)
('<sil>', -8735, 307516, 307518)
('<sil>', -4958, 307519, 307530)
('they', -18641, 307531, 307545)
('<sil>', -8566, 307546, 307548)
('were', -13548, 307549, 307576)
('when(3)', -30225, 307577, 307607)
('we', -11931, 307608, 307627)
('agreed', -24579, 307628, 307668)
('that', -35815, 307669, 307686)
('hold', -54052, 307687, 307774)
('my', -13113, 307775, 307791)
('conversations', -15051, 307792, 307888)
('with', -8232, 307889, 307911)
('you', -6091, 307912, 307943)
('<sil>', -4780, 307944, 307995)
('the(2)', -10807, 307996, 308006)
('murder', -13269, 308007, 308041)
('but', -5273, 308042, 308117)
('[SPEECH]', -5233, 308118, 308136)
('living', -28027, 308137, 308167)
('rooms', -18277, 308168, 308215)
('in', -30410, 308216, 308241)
('schools', -5440, 308242, 308332)
('<sil>', -4780, 308333, 308391)
('arms', -8912, 308392, 308479)
('<sil>', -4830, 308480, 308510)
('on(2)', -5473, 308511, 308531)
('back', -40276, 308532, 308563)
('to(3)', -13505, 308564, 308571)
('read(2)', -38723, 308572, 308594)
('wars', -23510, 308595, 308649)
('<sil>', -4786, 308650, 308702)
('the', -42174, 308703, 308712)
('bios', -45575, 308713, 308789)
('<sil>', -4786, 308790, 308840)
('them(2)', -46866, 308841, 308855)
('on(2)', -20318, 308856, 308883)
('[SPEECH]', -5123, 308884, 308919)
('this', -6585, 308920, 308948)
('and', -19087, 308949, 308969)
('builds', -15526, 308970, 309012)
('reactors', -9194, 309013, 309107)
('<sil>', -4863, 309108, 309126)
('<sil>', -4776, 309127, 309165)
('was(2)', -7800, 309166, 309180)
('gonna', -4994, 309181, 309207)
('say', -4820, 309208, 309233)
('shoes', -19721, 309234, 309260)
('or(2)', -23506, 309261, 309266)
('what', -6987, 309267, 309342)
('if', -45645, 309343, 309350)
('getting', -14994, 309351, 309385)
('honest', -7833, 309386, 309427)
('<sil>', -6691, 309428, 309465)
('i', -39155, 309466, 309471)
("can't", -26045, 309472, 309497)
('get', -7138, 309498, 309523)
('inspired', -15619, 309524, 309603)
('<sil>', -4909, 309604, 309653)
('them', -25872, 309654, 309672)
('in', -32321, 309673, 309688)
('all', -25449, 309689, 309709)
('<sil>', -4761, 309710, 309741)
('it', -22189, 309742, 309768)
('every(2)', -15400, 309769, 309789)
('day', -7543, 309790, 309815)
("i'll", -31114, 309816, 309879)
('have', -14195, 309880, 309908)
('you', -10887, 309909, 309927)
('[SPEECH]', -5433, 309928, 309949)
('<sil>', -10382, 309950, 309971)
('made', -17974, 309972, 310016)
('it', -4734, 310017, 310059)
('runs', -14314, 310060, 310084)
('up', -30143, 310085, 310137)
('the(2)', -10819, 310138, 310161)
('money', -21947, 310162, 310197)
